Abbreviations,ActiveTime,Currentname,HeadQuarters,LogoDates,Logos,Names,OwnerDate,Owners,Popularevents,SocialMedia,Televisionshows,Website
HCW,2002 - 2006,Hardkore Championship Wrestling,"Florida, USA",Hardkore Championship Wrestling,/site/main/img/ligen/small/2937.gif,Hardkore Championship Wrestling (2002 - 2006),,Nick Mayberry (2002 - 2006),Incredible 8 Tournament,http://incredible8.com/index2.html,,
HWA,1996,Hardcore Wrestling Alliance  ,"North Carolina, USA",,,Hardcore Wrestling Alliance   (1996),,,,,,
"HW, WWW",1996 - 1998,Hardcore Wrestling,"Regina, Saskatchewan, Canada",,,"Wild West Wrestling  (1998),Hardcore Wrestling (1996 - 1997)",,Scott Wheatley (1996 - 1997),,,,
HWE,2020 - today,Hamilton Wrestling Entertainment,"Mississauga, Ontario, Canada",Hamilton Wrestling Entertainment,/site/main/img/ligen/small/3156.gif,Hamilton Wrestling Entertainment (2020 - today),,,,https://www.facebook.com/HWEBattleArts/,,
HWA,1999 - 2000,Hardcore Wrestling Alliance ,"New York, New York, USA",Hardcore Wrestling Alliance ,/site/main/img/ligen/small/2278.gif,Hardcore Wrestling Alliance  (1999 - 2000),,"Mikey Whipwreck, & ,Paul Lauria, (1999 - 2000)",,,,
HRT,2012 - 2014,Hardcore Roadtrip,Canada,Hardcore Roadtrip,/site/main/img/ligen/small/1041.gif,Hardcore Roadtrip (2012 - 2014),,Mark Livingston (2012 - 2014),,"http://hardcoreroadtrip.ca,https://www.youtube.com/user/HardcoreRoadTrip",,
Lucha Libre VIP,,Lucha Libre VIP,"Monterrey, Nuevo Leon, Mexiko",Lucha Libre VIP,/site/main/img/ligen/small/1152.gif,Lucha Libre VIP ( - today),,,,https://twitter.com/LuchalibreVIP,,
Vanguardia,2019 - today,Lucha Libre Vanguardia,"Pachuca, Hidalgo, Mexiko",Lucha Libre Vanguardia,/site/main/img/ligen/small/2542.gif,Lucha Libre Vanguardia (2019 - today),,,,https://www.facebook.com/Lucha-Libre-Vanguardia-2281424065513065/,,
HCW,199x - 2010,Hardcore Championship Wrestling,"Kentucky, USA",Hardcore Championship Wrestling,/site/main/img/ligen/small/2682.gif,Hardcore Championship Wrestling (199x - 2010),,,,https://www.facebook.com/HCWWrestlingKY,,
LLV,2011 - today,Lucha Libre Volcanica,"Renton, Washington, USA",Lucha Libre Volcanica,/site/main/img/ligen/small/2102.gif,Lucha Libre Volcanica (2011 - today),,,,"http://www.luchavolcanica.com,https://www.facebook.com/LuchaVolcanica,https://twitter.com/luchavolcanica",,
HKW,2009 - 2014,Hard Knock Wrestling,"Cleveland, Ohio, USA",Hard Knock Wrestling,/site/main/img/ligen/small/1293.gif,Hard Knock Wrestling (2009 - 2014),,"Lamont Williams, (2009 - 2014)",,"https://www.youtube.com/user/HKWcleveland,https://twitter.com/HKWcleveland,http://www.hardknockwrestling.com/,https://www.facebook.com/hardknockwrestling",,
LLUE,2020 - today,Lucha Libre Universal Entertainment,"Apodaca, Nuevo Leon, Mexiko",Lucha Libre Universal Entertainment,/site/main/img/ligen/small/3050.gif,Lucha Libre Universal Entertainment (2020 - today),,Sombra Roja (2020 - today),,https://www.facebook.com/LL-UE-103673744814526/,,
LLUSA,2010 - 2013,Lucha Libre USA,USA,Lucha Libre USA,/site/main/img/ligen/small/670.gif,Lucha Libre USA (2010 - 2013),,Steven Ship & Louis Silverstein (2010 - 2013),,"http://luchalibreusa.com/,https://myspace.com/maskedwarriors,https://twitter.com/LuchaLibreUSA,https://www.youtube.com/user/LuchaLibreUSA",Masked Warriors,
LLU,2006 - today,Lucha Libre Unida,"Monterrey, Nuevo Leon, Mexiko",Lucha Libre Unida,/site/main/img/ligen/small/689.gif,Lucha Libre Unida (2006 - today),,Guillermo Gomez (2006 - today),,https://www.facebook.com/luchalibreunida.llu,,
Lucha Libre TWS,2016 - today,Lucha Libre TWS Cancun,"Cancun, Quintana Roo, Mexiko",,,Lucha Libre TWS Cancun (2016 - today),,,,https://www.facebook.com/luchalibretwscancun/,,
LLT,2014 - today,Lucha Libre Total,"Heroica Puebla de Zaragoza, Puebla, Mexiko",Lucha Libre Total,/site/main/img/ligen/small/1386.gif,Lucha Libre Total (2014 - today),,Roberto Munoz (2014 - today),,https://www.facebook.com/LLTPUEBLA,,
SAW/WAG,2005 - today,Lucha Libre SAW/WAG Colombia,"Bogota, Kolumbien",Lucha Libre SAW/WAG Colombia,/site/main/img/ligen/small/2023.gif,Lucha Libre SAW/WAG Colombia (2005 - today),,,,https://www.facebook.com/LuchaLibreWagYSawColombia/,,
LLT,2014 - today,Lucha Libre Tijuanense,"Tijuana, Baja California, Mexiko",Lucha Libre Tijuanense,/site/main/img/ligen/small/1328.gif,Lucha Libre Tijuanense (2014 - today),,,,https://www.facebook.com/pages/Promociones-LLT-LUCHA-LIBRE-tijuanense/253696008136214,,
Lucha Libre Tammy's,2019 - today,Lucha Libre Tammy's,"Commerce City, Colorado, USA",Lucha Libre Tammy's,/site/main/img/ligen/small/3123.gif,Lucha Libre Tammy's (2019 - today),,Sol Azteca (2019 - today),,https://www.facebook.com/Lucha-Libre-Tammys-107308331005660,,
Lucha Libre Real (2018-),2018 - today,Lucha Libre Real,"Ciudad Nezahualcoyotl, Estado de Mexico, Mexiko",Lucha Libre Real,/site/main/img/ligen/small/2514.gif,Lucha Libre Real (2018 - today),,,,https://www.facebook.com/LuchaLibreReal/,,
LLT,2016 - today,Lucha Libre Total Chicago,"Berwyn, Illinois, USA",Lucha Libre Total Chicago,/site/main/img/ligen/small/2214.gif,Lucha Libre Total Chicago (2016 - today),,,,https://www.facebook.com/luchalibretotalchicago/,,
Lucha Libre Profesional NET,,Lucha Libre Profesional NET,"Tijuana, Baja California, Mexiko",Lucha Libre Profesional NET,/site/main/img/ligen/small/1706.gif,Lucha Libre Profesional NET ( - today),,,,,,
LLII,2007 - 2019,Lucha Libre Internacional Independiente,"San Diego, California, USA",Lucha Libre Internacional Independiente,/site/main/img/ligen/small/2436.gif,Lucha Libre Internacional Independiente (2007 - 2019),,,,https://www.facebook.com/Lucha-libre-internacional-independiente-414722425258650/,,
LLI,2018 - today,Lucha Libre Independiente,"Los Angeles, California, USA",Lucha Libre Independiente,/site/main/img/ligen/small/3131.gif,Lucha Libre Independiente (2018 - today),,,,https://www.facebook.com/LuchaLibreIndependienteLA/,,
Lucha Libre GH,2016 - today,Lucha Libre GH,"Mexico City, Distrito Federal, Mexiko",Lucha Libre GH,/site/main/img/ligen/small/1810.gif,Lucha Libre GH (2016 - today),,,,https://www.facebook.com/luchalibreGH/,,
Lucha Libre Fighter,2016 - today,Lucha Libre Fighter,"Tijuana, Baja California, Mexiko",Lucha Libre Fighter,/site/main/img/ligen/small/1850.gif,Lucha Libre Fighter (2016 - today),,,,https://www.facebook.com/LUCHA-LIBRE-Fighter-591290331044039/,,
LLF,2000 - today,Lucha Libre Femenil,"Monterrey, Nuevo Leon, Mexiko",Lucha Libre Femenil,/site/main/img/ligen/small/647.gif,Lucha Libre Femenil (2000 - today),,"Luciano Alberto Garcia de Luna, (2000 - today)","Aniversario,Noche Extrema,Copa LLF,Noche Halloween,Femeween,Copa Juvenil LLF","http://llf.mx/,https://twitter.com/LLFemenil,https://www.facebook.com/LLFMonterrey,https://www.youtube.com/llfmexico",,
LLE,2021 - today,Lucha Libre Entertainment,"El Paso, Texas, USA",Lucha Libre Entertainment,/site/main/img/ligen/small/3029.gif,Lucha Libre Entertainment (2021 - today),,,,"https://twitter.com/gaby91729648,https://www.facebook.com/luchalibreelpaso/",,
